"","region_type","region","year","week","total_specimens","percent_positive","a_2009_h1n1","a_h1","a_h3","a_subtyping_not_performed","a_unable_to_subtype","b","h3n2v","wk_date"
"1","HHS Regions","Region 1","2008",40,173,0,0,0,0,0,0,0,0,2008-09-28
"2","HHS Regions","Region 2","2008",40,432,0,0,0,0,0,0,0,0,2008-09-28
"3","HHS Regions","Region 3","2008",40,347,0,0,0,0,0,0,0,0,2008-09-28
"4","HHS Regions","Region 4","2008",40,444,0.900901,0,0,0,2,0,2,0,2008-09-28
"5","HHS Regions","Region 5","2008",40,145,0,0,0,0,0,0,0,0,2008-09-28
"6","HHS Regions","Region 6","2008",40,370,0.810811,0,0,0,3,0,0,0,2008-09-28
"7","HHS Regions","Region 7","2008",40,162,0,0,0,0,0,0,0,0,2008-09-28
"8","HHS Regions","Region 8","2008",40,139,1.43885,0,0,0,1,0,1,0,2008-09-28
"9","HHS Regions","Region 9","2008",40,416,1.44231,0,2,0,2,0,2,0,2008-09-28
"10","HHS Regions","Region 10","2008",40,131,1.52672,0,1,0,0,0,1,0,2008-09-28
"11","HHS Regions","Region 1","2008",41,175,0,0,0,0,0,0,0,0,2008-10-05
"12","HHS Regions","Region 2","2008",41,344,0.290698,0,0,0,1,0,0,0,2008-10-05
"13","HHS Regions","Region 3","2008",41,375,0.266667,0,0,0,0,0,1,0,2008-10-05
"14","HHS Regions","Region 4","2008",41,473,0,0,0,0,0,0,0,0,2008-10-05
"15","HHS Regions","Region 5","2008",41,175,1.14286,0,1,0,0,0,1,0,2008-10-05
"16","HHS Regions","Region 6","2008",41,439,0.911162,0,0,0,4,0,0,0,2008-10-05
"17","HHS Regions","Region 7","2008",41,179,0,0,0,0,0,0,0,0,2008-10-05
"18","HHS Regions","Region 8","2008",41,173,1.7341,0,0,0,1,0,2,0,2008-10-05
"19","HHS Regions","Region 9","2008",41,396,1.76768,0,4,0,2,0,1,0,2008-10-05
"20","HHS Regions","Region 10","2008",41,145,3.44828,0,0,4,0,0,1,0,2008-10-05
"21","HHS Regions","Region 1","2008",42,184,0,0,0,0,0,0,0,0,2008-10-12
"22","HHS Regions","Region 2","2008",42,380,0,0,0,0,0,0,0,0,2008-10-12
"23","HHS Regions","Region 3","2008",42,349,0,0,0,0,0,0,0,0,2008-10-12
"24","HHS Regions","Region 4","2008",42,545,1.46789,0,0,0,7,0,1,0,2008-10-12
"25","HHS Regions","Region 5","2008",42,205,0,0,0,0,0,0,0,0,2008-10-12
"26","HHS Regions","Region 6","2008",42,390,1.53846,0,0,0,3,0,3,0,2008-10-12
"27","HHS Regions","Region 7","2008",42,174,0,0,0,0,0,0,0,0,2008-10-12
"28","HHS Regions","Region 8","2008",42,180,1.11111,0,0,1,1,0,0,0,2008-10-12
"29","HHS Regions","Region 9","2008",42,402,4.97512,0,13,1,4,0,2,0,2008-10-12
"30","HHS Regions","Region 10","2008",42,128,0.78125,0,0,1,0,0,0,0,2008-10-12
"31","HHS Regions","Region 1","2008",43,211,0,0,0,0,0,0,0,0,2008-10-19
"32","HHS Regions","Region 2","2008",43,414,0.241546,0,0,0,0,0,1,0,2008-10-19
"33","HHS Regions","Region 3","2008",43,389,0.514139,0,1,0,0,0,1,0,2008-10-19
"34","HHS Regions","Region 4","2008",43,649,1.23267,0,0,0,6,0,2,0,2008-10-19
"35","HHS Regions","Region 5","2008",43,251,4.38247,0,2,0,4,0,5,0,2008-10-19
"36","HHS Regions","Region 6","2008",43,432,2.08333,0,0,0,4,0,5,0,2008-10-19
"37","HHS Regions","Region 7","2008",43,188,0,0,0,0,0,0,0,0,2008-10-19
"38","HHS Regions","Region 8","2008",43,176,0,0,0,0,0,0,0,0,2008-10-19
"39","HHS Regions","Region 9","2008",43,516,5.81395,0,19,0,10,0,1,0,2008-10-19
"40","HHS Regions","Region 10","2008",43,208,0,0,0,0,0,0,0,0,2008-10-19
"41","HHS Regions","Region 1","2008",44,243,0.411523,0,0,1,0,0,0,0,2008-10-26
"42","HHS Regions","Region 2","2008",44,444,0.225225,0,0,0,1,0,0,0,2008-10-26
"43","HHS Regions","Region 3","2008",44,436,0.917431,0,1,0,1,0,2,0,2008-10-26
"44","HHS Regions","Region 4","2008",44,681,1.46843,0,1,0,6,0,3,0,2008-10-26
"45","HHS Regions","Region 5","2008",44,246,0,0,0,0,0,0,0,0,2008-10-26
"46","HHS Regions","Region 6","2008",44,522,1.53257,0,2,0,6,0,0,0,2008-10-26
"47","HHS Regions","Region 7","2008",44,201,0,0,0,0,0,0,0,0,2008-10-26
"48","HHS Regions","Region 8","2008",44,219,0.456621,0,0,1,0,0,0,0,2008-10-26
"49","HHS Regions","Region 9","2008",44,351,5.12821,0,9,1,7,0,1,0,2008-10-26
"50","HHS Regions","Region 10","2008",44,202,0,0,0,0,0,0,0,0,2008-10-26
"51","HHS Regions","Region 1","2008",45,267,0.374532,0,0,0,0,0,1,0,2008-11-02
"52","HHS Regions","Region 2","2008",45,587,0.170358,0,0,1,0,0,0,0,2008-11-02
"53","HHS Regions","Region 3","2008",45,460,0.217391,0,1,0,0,0,0,0,2008-11-02
"54","HHS Regions","Region 4","2008",45,717,1.25523,0,1,0,7,0,1,0,2008-11-02
"55","HHS Regions","Region 5","2008",45,288,2.08333,0,2,0,1,0,3,0,2008-11-02
"56","HHS Regions","Region 6","2008",45,656,1.82927,0,5,0,2,0,5,0,2008-11-02
"57","HHS Regions","Region 7","2008",45,257,0,0,0,0,0,0,0,0,2008-11-02
"58","HHS Regions","Region 8","2008",45,272,1.10294,0,0,0,2,0,1,0,2008-11-02
"59","HHS Regions","Region 9","2008",45,496,7.05645,0,22,2,10,0,1,0,2008-11-02
"60","HHS Regions","Region 10","2008",45,154,1.94805,0,2,0,1,0,0,0,2008-11-02
"61","HHS Regions","Region 1","2008",46,264,0,0,0,0,0,0,0,0,2008-11-09
"62","HHS Regions","Region 2","2008",46,488,0.204918,0,0,0,1,0,0,0,2008-11-09
"63","HHS Regions","Region 3","2008",46,536,0.186567,0,1,0,0,0,0,0,2008-11-09
"64","HHS Regions","Region 4","2008",46,770,1.68831,0,2,0,6,0,5,0,2008-11-09
"65","HHS Regions","Region 5","2008",46,229,0,0,0,0,0,0,0,0,2008-11-09
"66","HHS Regions","Region 6","2008",46,833,2.40096,0,6,0,8,0,6,0,2008-11-09
"67","HHS Regions","Region 7","2008",46,286,0,0,0,0,0,0,0,0,2008-11-09
"68","HHS Regions","Region 8","2008",46,284,0.352113,0,0,0,1,0,0,0,2008-11-09
"69","HHS Regions","Region 9","2008",46,554,4.69314,0,16,2,7,0,1,0,2008-11-09
"70","HHS Regions","Region 10","2008",46,174,0,0,0,0,0,0,0,0,2008-11-09
"71","HHS Regions","Region 1","2008",47,276,0,0,0,0,0,0,0,0,2008-11-16
"72","HHS Regions","Region 2","2008",47,560,0,0,0,0,0,0,0,0,2008-11-16
"73","HHS Regions","Region 3","2008",47,491,0.610998,0,0,0,0,0,3,0,2008-11-16
"74","HHS Regions","Region 4","2008",47,755,2.64901,0,0,0,10,0,10,0,2008-11-16
"75","HHS Regions","Region 5","2008",47,322,1.24224,0,1,0,1,0,2,0,2008-11-16
"76","HHS Regions","Region 6","2008",47,991,2.5227,0,7,0,9,0,9,0,2008-11-16
"77","HHS Regions","Region 7","2008",47,302,0,0,0,0,0,0,0,0,2008-11-16
"78","HHS Regions","Region 8","2008",47,362,1.38122,0,1,1,3,0,0,0,2008-11-16
"79","HHS Regions","Region 9","2008",47,496,4.83871,0,15,0,9,0,0,0,2008-11-16
"80","HHS Regions","Region 10","2008",47,184,1.63043,0,1,0,0,0,2,0,2008-11-16
"81","HHS Regions","Region 1","2008",48,275,1.81818,0,0,0,4,0,1,0,2008-11-23
"82","HHS Regions","Region 2","2008",48,632,0.632911,0,0,0,1,0,3,0,2008-11-23
"83","HHS Regions","Region 3","2008",48,449,0.222717,0,0,0,1,0,0,0,2008-11-23
"84","HHS Regions","Region 4","2008",48,714,1.96078,0,0,0,6,0,8,0,2008-11-23
"85","HHS Regions","Region 5","2008",48,275,0.727273,0,2,0,0,0,0,0,2008-11-23
"86","HHS Regions","Region 6","2008",48,1105,3.16742,0,5,0,24,0,6,0,2008-11-23
"87","HHS Regions","Region 7","2008",48,311,0,0,0,0,0,0,0,0,2008-11-23
"88","HHS Regions","Region 8","2008",48,285,1.75439,0,0,1,4,0,0,0,2008-11-23
"89","HHS Regions","Region 9","2008",48,648,6.32716,0,33,0,8,0,0,0,2008-11-23
"90","HHS Regions","Region 10","2008",48,142,1.40845,0,0,0,0,0,2,0,2008-11-23
"91","HHS Regions","Region 1","2008",49,313,0,0,0,0,0,0,0,0,2008-11-30
"92","HHS Regions","Region 2","2008",49,717,0.55788,0,1,0,2,0,1,0,2008-11-30
"93","HHS Regions","Region 3","2008",49,621,0.322061,0,1,1,0,0,0,0,2008-11-30
"94","HHS Regions","Region 4","2008",49,850,2.94118,0,2,0,14,0,9,0,2008-11-30
"95","HHS Regions","Region 5","2008",49,381,2.62467,0,8,2,0,0,0,0,2008-11-30
"96","HHS Regions","Region 6","2008",49,1258,3.33863,0,8,0,28,0,6,0,2008-11-30
"97","HHS Regions","Region 7","2008",49,350,0.571429,0,2,0,0,0,0,0,2008-11-30
"98","HHS Regions","Region 8","2008",49,373,3.21716,0,1,2,7,0,2,0,2008-11-30
"99","HHS Regions","Region 9","2008",49,553,5.42495,0,22,1,7,0,0,0,2008-11-30
"100","HHS Regions","Region 10","2008",49,182,0,0,0,0,0,0,0,0,2008-11-30
"101","HHS Regions","Region 1","2008",50,356,1.68539,0,1,2,2,0,1,0,2008-12-07
"102","HHS Regions","Region 2","2008",50,867,1.84544,0,9,1,3,0,3,0,2008-12-07
"103","HHS Regions","Region 3","2008",50,537,1.67598,0,8,0,1,0,0,0,2008-12-07
"104","HHS Regions","Region 4","2008",50,854,2.57611,0,1,0,9,0,12,0,2008-12-07
"105","HHS Regions","Region 5","2008",50,391,2.30179,0,6,2,1,0,0,0,2008-12-07
"106","HHS Regions","Region 6","2008",50,1369,5.5515,0,12,0,39,0,25,0,2008-12-07
"107","HHS Regions","Region 7","2008",50,354,0.564972,0,1,0,1,0,0,0,2008-12-07
"108","HHS Regions","Region 8","2008",50,412,2.91262,0,3,4,5,0,0,0,2008-12-07
"109","HHS Regions","Region 9","2008",50,611,5.40098,0,27,0,6,0,0,0,2008-12-07
"110","HHS Regions","Region 10","2008",50,238,1.68067,0,0,1,2,0,1,0,2008-12-07
"111","HHS Regions","Region 1","2008",51,395,1.51899,0,2,1,1,0,2,0,2008-12-14
"112","HHS Regions","Region 2","2008",51,950,2.52632,0,9,1,12,0,2,0,2008-12-14
"113","HHS Regions","Region 3","2008",51,580,3.44828,0,10,3,4,0,3,0,2008-12-14
"114","HHS Regions","Region 4","2008",51,839,4.5292,0,7,0,14,0,17,0,2008-12-14
"115","HHS Regions","Region 5","2008",51,397,5.03778,0,10,6,1,0,3,0,2008-12-14
"116","HHS Regions","Region 6","2008",51,1426,7.99439,0,17,0,68,0,29,0,2008-12-14
"117","HHS Regions","Region 7","2008",51,431,1.16009,0,0,1,4,0,0,0,2008-12-14
"118","HHS Regions","Region 8","2008",51,498,2.81124,0,1,6,7,0,0,0,2008-12-14
"119","HHS Regions","Region 9","2008",51,507,4.73373,0,21,1,2,0,0,0,2008-12-14
"120","HHS Regions","Region 10","2008",51,278,2.8777,0,4,0,0,0,4,0,2008-12-14
"121","HHS Regions","Region 1","2008",52,346,2.89017,0,4,0,6,0,0,0,2008-12-21
"122","HHS Regions","Region 2","2008",52,850,2.82353,0,1,2,19,0,2,0,2008-12-21
"123","HHS Regions","Region 3","2008",52,571,2.62697,0,7,0,5,0,3,0,2008-12-21
"124","HHS Regions","Region 4","2008",52,830,3.37349,0,3,0,11,0,14,0,2008-12-21
"125","HHS Regions","Region 5","2008",52,384,8.07292,0,17,4,7,0,3,0,2008-12-21
"126","HHS Regions","Region 6","2008",52,1443,9.07831,0,14,1,94,0,22,0,2008-12-21
"127","HHS Regions","Region 7","2008",52,365,1.09589,0,0,2,1,0,1,0,2008-12-21
"128","HHS Regions","Region 8","2008",52,429,4.8951,0,4,4,13,0,0,0,2008-12-21
"129","HHS Regions","Region 9","2008",52,659,3.18665,0,20,1,0,0,0,0,2008-12-21
"130","HHS Regions","Region 10","2008",52,154,0,0,0,0,0,0,0,0,2008-12-21
"131","HHS Regions","Region 1","2008",53,346,3.17919,0,3,1,6,0,1,0,2008-12-28
"132","HHS Regions","Region 2","2008",53,983,3.76399,0,7,1,27,0,2,0,2008-12-28
"133","HHS Regions","Region 3","2008",53,666,1.8018,0,2,1,7,0,2,0,2008-12-28
"134","HHS Regions","Region 4","2008",53,768,3.90625,0,3,1,18,0,8,0,2008-12-28
"135","HHS Regions","Region 5","2008",53,433,10.8545,0,36,3,5,0,3,0,2008-12-28
"136","HHS Regions","Region 6","2008",53,1608,8.39552,0,21,1,83,0,30,0,2008-12-28
"137","HHS Regions","Region 7","2008",53,431,2.32019,0,2,4,3,0,1,0,2008-12-28
"138","HHS Regions","Region 8","2008",53,556,7.55396,0,11,7,24,0,0,0,2008-12-28
"139","HHS Regions","Region 9","2008",53,576,5.20833,0,28,0,2,0,0,0,2008-12-28
"140","HHS Regions","Region 10","2008",53,225,4.88889,0,6,0,2,0,3,0,2008-12-28
"141","HHS Regions","Region 1","2009",1,423,4.25532,0,8,2,6,0,2,0,2009-01-04
"142","HHS Regions","Region 2","2009",1,950,7.89474,0,20,9,44,0,2,0,2009-01-04
"143","HHS Regions","Region 3","2009",1,696,6.75287,0,25,7,7,0,8,0,2009-01-04
"144","HHS Regions","Region 4","2009",1,863,6.72074,0,9,0,30,0,19,0,2009-01-04
"145","HHS Regions","Region 5","2009",1,478,13.8075,0,39,7,10,0,10,0,2009-01-04
"146","HHS Regions","Region 6","2009",1,1707,11.5993,0,30,1,135,0,32,0,2009-01-04
"147","HHS Regions","Region 7","2009",1,466,1.71674,0,5,0,0,0,3,0,2009-01-04
"148","HHS Regions","Region 8","2009",1,563,11.5453,0,11,3,50,0,1,0,2009-01-04
"149","HHS Regions","Region 9","2009",1,589,6.45161,0,26,5,7,0,0,0,2009-01-04
"150","HHS Regions","Region 10","2009",1,246,6.50407,0,3,1,10,0,2,0,2009-01-04
"151","HHS Regions","Region 1","2009",2,411,9.97567,0,11,0,28,0,2,0,2009-01-11
"152","HHS Regions","Region 2","2009",2,959,9.6976,0,14,5,67,0,7,0,2009-01-11
"153","HHS Regions","Region 3","2009",2,737,7.59837,0,33,3,15,0,5,0,2009-01-11
"154","HHS Regions","Region 4","2009",2,838,8.35322,0,8,3,41,0,18,0,2009-01-11
"155","HHS Regions","Region 5","2009",2,526,16.1597,0,54,3,17,0,11,0,2009-01-11
"156","HHS Regions","Region 6","2009",2,1600,16.875,0,35,0,184,0,51,0,2009-01-11
"157","HHS Regions","Region 7","2009",2,438,4.3379,0,10,3,5,0,1,0,2009-01-11
"158","HHS Regions","Region 8","2009",2,628,12.1019,0,12,3,55,0,6,0,2009-01-11
"159","HHS Regions","Region 9","2009",2,596,5.87248,0,26,5,3,0,1,0,2009-01-11
"160","HHS Regions","Region 10","2009",2,262,5.72519,0,4,0,10,0,1,0,2009-01-11
"161","HHS Regions","Region 1","2009",3,483,13.6646,0,16,5,35,0,10,0,2009-01-18
"162","HHS Regions","Region 2","2009",3,1114,12.5673,0,42,8,69,0,21,0,2009-01-18
"163","HHS Regions","Region 3","2009",3,730,11.3699,0,40,7,20,0,16,0,2009-01-18
"164","HHS Regions","Region 4","2009",3,878,10.82,0,27,3,45,0,20,0,2009-01-18
"165","HHS Regions","Region 5","2009",3,608,21.5461,0,90,6,22,0,13,0,2009-01-18
"166","HHS Regions","Region 6","2009",3,2151,25.1046,0,68,7,375,0,90,0,2009-01-18
"167","HHS Regions","Region 7","2009",3,503,6.75944,0,15,2,14,0,3,0,2009-01-18
"168","HHS Regions","Region 8","2009",3,578,20.4152,0,30,8,72,0,8,0,2009-01-18
"169","HHS Regions","Region 9","2009",3,657,7.15373,0,30,5,9,0,3,0,2009-01-18
"170","HHS Regions","Region 10","2009",3,241,8.71369,0,6,0,9,0,6,0,2009-01-18
"171","HHS Regions","Region 1","2009",4,596,20.9732,0,43,4,62,0,16,0,2009-01-25
"172","HHS Regions","Region 2","2009",4,1195,16.569,0,37,1,119,0,41,0,2009-01-25
"173","HHS Regions","Region 3","2009",4,851,18.6839,0,75,5,39,0,40,0,2009-01-25
"174","HHS Regions","Region 4","2009",4,1003,14.0578,0,36,4,64,0,37,0,2009-01-25
"175","HHS Regions","Region 5","2009",4,675,28.7407,0,119,13,32,0,30,0,2009-01-25
"176","HHS Regions","Region 6","2009",4,2654,30.2562,0,100,20,508,0,175,0,2009-01-25
"177","HHS Regions","Region 7","2009",4,649,11.8644,0,41,5,15,0,16,0,2009-01-25
"178","HHS Regions","Region 8","2009",4,908,18.8326,0,64,18,77,0,12,0,2009-01-25
"179","HHS Regions","Region 9","2009",4,628,12.8981,0,43,11,13,0,14,0,2009-01-25
"180","HHS Regions","Region 10","2009",4,325,6.15385,0,5,0,15,0,0,0,2009-01-25
"181","HHS Regions","Region 1","2009",5,721,24.4105,0,52,2,95,0,27,0,2009-02-01
"182","HHS Regions","Region 2","2009",5,1595,18.1191,0,40,10,165,0,74,0,2009-02-01
"183","HHS Regions","Region 3","2009",5,984,23.374,0,87,3,55,0,85,0,2009-02-01
"184","HHS Regions","Region 4","2009",5,1280,18.8281,0,70,9,108,0,54,0,2009-02-01
"185","HHS Regions","Region 5","2009",5,819,31.746,0,161,3,38,0,58,0,2009-02-01
"186","HHS Regions","Region 6","2009",5,3782,31.8879,0,115,10,751,0,330,0,2009-02-01
"187","HHS Regions","Region 7","2009",5,573,17.801,0,51,3,28,0,20,0,2009-02-01
"188","HHS Regions","Region 8","2009",5,943,15.9067,0,36,2,99,0,13,0,2009-02-01
"189","HHS Regions","Region 9","2009",5,685,13.1387,0,42,9,24,0,15,0,2009-02-01
"190","HHS Regions","Region 10","2009",5,325,17.8462,0,24,4,19,0,11,0,2009-02-01
"191","HHS Regions","Region 1","2009",6,1000,34.5,0,107,18,115,0,105,0,2009-02-08
"192","HHS Regions","Region 2","2009",6,1564,10.6138,0,24,3,84,0,55,0,2009-02-08
